GISJOIN,STATEA,COUNTYA,TRACTA,Total,White,Black,Native,Asian,Hawaiian,Other,Two,WPct,BPct,NPct
G32000300028302,32,3,2830,1461,959,52,4,244,20,125,57,0.66,0.04,0.00
G32000300028303,32,3,2830,3430,2457,273,12,283,31,220,154,0.72,0.08,0.00
G32000300028311,32,3,2831,3533,1791,396,46,480,57,521,242,0.51,0.11,0.01
G32000300028321,32,3,2832,3225,2149,229,35,428,28,194,162,0.67,0.07,0.01
G32000300028322,32,3,2832,1218,762,93,24,180,14,72,73,0.63,0.08,0.02
G32000300028323,32,3,2832,1608,988,131,15,271,16,80,107,0.61,0.08,0.01
G32000300028331,32,3,2833,2844,1742,146,12,590,34,159,161,0.61,0.05,0.00
G32000300028332,32,3,2833,2412,1653,161,24,275,44,124,131,0.69,0.07,0.01
G32000300028341,32,3,2834,1111,760,48,0,147,12,78,66,0.68,0.04,0.00
G32000300028342,32,3,2834,1522,1003,115,6,231,14,67,86,0.66,0.08,0.00
G32000300028343,32,3,2834,3298,2200,190,27,393,52,218,218,0.67,0.06,0.01
G32000300028351,32,3,2835,1456,882,118,13,204,36,108,95,0.61,0.08,0.01
G32000300028352,32,3,2835,1063,657,29,8,182,26,71,90,0.62,0.03,0.01
G32000300028361,32,3,2836,995,571,97,1,120,41,60,105,0.57,0.10,0.00
G32000300028362,32,3,2836,2346,1288,141,18,346,84,285,184,0.55,0.06,0.01
G32000300028371,32,3,2837,1008,813,21,10,75,7,41,41,0.81,0.02,0.01
G32000300028372,32,3,2837,1074,801,41,5,101,14,73,39,0.75,0.04,0.00
G32000300028373,32,3,2837,810,667,30,2,37,11,29,34,0.82,0.04,0.00
G32000300028374,32,3,2837,1238,932,55,4,103,20,62,62,0.75,0.04,0.00
G32000300028375,32,3,2837,1660,1289,44,4,145,21,85,72,0.78,0.03,0.00
G32000300028381,32,3,2838,1087,938,28,1,46,13,35,26,0.86,0.03,0.00
G32000300028382,32,3,2838,1311,954,69,8,122,14,82,62,0.73,0.05,0.01
G32000300028383,32,3,2838,1388,1079,47,2,125,2,83,50,0.78,0.03,0.00
G32000300028384,32,3,2838,1702,1023,151,11,216,15,179,107,0.60,0.09,0.01
G32000300028411,32,3,2841,1874,1314,79,5,275,15,83,103,0.70,0.04,0.00
G32000300028412,32,3,2841,975,762,28,0,118,5,25,37,0.78,0.03,0.00
G32000300028421,32,3,2842,2829,1453,246,17,580,58,256,219,0.51,0.09,0.01
G32000300028422,32,3,2842,1597,825,102,11,404,51,83,121,0.52,0.06,0.01
G32000300028423,32,3,2842,1464,761,107,9,385,10,95,97,0.52,0.07,0.01
G32000300028431,32,3,2843,2354,1288,194,21,478,32,160,181,0.55,0.08,0.01
G32000300028432,32,3,2843,4011,2181,309,43,792,84,329,273,0.54,0.08,0.01
G32000300028441,32,3,2844,4012,2390,300,28,612,81,329,272,0.60,0.07,0.01
G32000300028442,32,3,2844,1518,988,110,10,196,10,124,80,0.65,0.07,0.01
G32000300028451,32,3,2845,2621,1557,260,15,293,56,217,223,0.59,0.10,0.01
G32000300028452,32,3,2845,1990,988,269,15,232,37,281,168,0.50,0.14,0.01
G32000300028461,32,3,2846,3239,1920,266,24,410,36,293,290,0.59,0.08,0.01
G32000300028462,32,3,2846,3614,2174,278,27,525,55,289,266,0.60,0.08,0.01
G32000300028471,32,3,2847,1826,1132,147,11,157,26,264,89,0.62,0.08,0.01
G32000300028472,32,3,2847,1901,1071,165,22,209,25,303,106,0.56,0.09,0.01
G32000300028481,32,3,2848,370,267,14,1,24,4,42,18,0.72,0.04,0.00
G32000300028482,32,3,2848,818,495,80,20,132,13,48,30,0.61,0.10,0.02
G32000300028483,32,3,2848,1675,1253,79,19,101,9,162,52,0.75,0.05,0.01
G32000300028484,32,3,2848,899,607,46,9,60,25,114,38,0.68,0.05,0.01
G32000300029051,32,3,2905,2147,1052,366,17,176,25,379,132,0.49,0.17,0.01
G32000300029052,32,3,2905,1292,858,128,1,154,5,103,43,0.66,0.10,0.00
G32000300029053,32,3,2905,990,596,104,2,151,7,85,45,0.60,0.11,0.00
G32000300029054,32,3,2905,1016,695,134,5,80,1,72,29,0.68,0.13,0.00
G32000300029151,32,3,2915,1696,1026,261,6,110,25,148,120,0.60,0.15,0.00
G32000300029152,32,3,2915,1238,901,134,9,105,2,50,37,0.73,0.11,0.01
G32000300029153,32,3,2915,1398,1067,108,8,131,3,48,33,0.76,0.08,0.01
G32000300029154,32,3,2915,590,429,36,7,66,0,15,37,0.73,0.06,0.01
G32000300029161,32,3,2916,1656,1148,203,18,118,6,92,71,0.69,0.12,0.01
G32000300029162,32,3,2916,1110,934,31,4,81,1,29,30,0.84,0.03,0.00
G32000300029191,32,3,2919,1902,1200,123,12,314,17,165,71,0.63,0.06,0.01
G32000300029192,32,3,2919,1028,689,41,11,108,3,100,76,0.67,0.04,0.01
G32000300029193,32,3,2919,1231,817,39,6,109,3,193,64,0.66,0.03,0.00
G32000300029351,32,3,2935,843,500,49,14,174,2,72,32,0.59,0.06,0.02
G32000300029352,32,3,2935,686,428,42,3,114,6,75,18,0.62,0.06,0.00
G32000300029361,32,3,2936,1509,1041,117,13,194,10,77,57,0.69,0.08,0.01
G32000300029362,32,3,2936,1708,1031,170,10,226,6,196,69,0.60,0.10,0.01
G32000300029371,32,3,2937,2131,1014,248,17,174,31,529,118,0.48,0.12,0.01
G32000300029372,32,3,2937,960,551,61,9,140,6,117,76,0.57,0.06,0.01
G32000300029373,32,3,2937,1492,693,245,16,319,23,129,67,0.46,0.16,0.01
G32000300029381,32,3,2938,1485,988,93,18,250,3,82,51,0.67,0.06,0.01
G32000300029391,32,3,2939,778,643,22,1,63,1,21,27,0.83,0.03,0.00
G32000300029392,32,3,2939,993,788,31,9,112,5,23,25,0.79,0.03,0.01
G32000300029401,32,3,2940,1655,765,157,0,587,16,67,63,0.46,0.09,0.00
G32000300029402,32,3,2940,1812,851,247,7,477,27,101,102,0.47,0.14,0.00
G32000300029411,32,3,2941,1227,861,40,19,76,6,168,57,0.70,0.03,0.02
G32000300029412,32,3,2941,1197,824,48,10,101,3,162,49,0.69,0.04,0.01
G32000300029413,32,3,2941,1553,1004,46,25,96,0,299,83,0.65,0.03,0.02
G32000300029414,32,3,2941,1238,758,58,25,148,10,175,64,0.61,0.05,0.02
G32000300029421,32,3,2942,1167,824,35,10,112,4,128,54,0.71,0.03,0.01
G32000300029422,32,3,2942,2367,1558,185,20,287,21,203,93,0.66,0.08,0.01
G32000300029423,32,3,2942,901,648,39,0,87,23,73,31,0.72,0.04,0.00
G32000300029441,32,3,2944,1464,898,121,2,311,3,82,47,0.61,0.08,0.00
G32000300029442,32,3,2944,1486,753,140,15,426,6,92,54,0.51,0.09,0.01
G32000300029461,32,3,2946,1315,749,78,18,200,11,199,60,0.57,0.06,0.01
G32000300029462,32,3,2946,872,600,50,8,135,7,46,26,0.69,0.06,0.01
G32000300029471,32,3,2947,1155,982,31,9,61,0,25,47,0.85,0.03,0.01
G32000300029472,32,3,2947,1551,1202,55,6,149,8,55,76,0.77,0.04,0.00
G32000300029481,32,3,2948,1585,999,61,20,97,19,278,111,0.63,0.04,0.01
G32000300029482,32,3,2948,1920,1270,88,14,111,17,317,103,0.66,0.05,0.01
G32000300029491,32,3,2949,1683,1208,86,8,146,9,161,65,0.72,0.05,0.00
G32000300029492,32,3,2949,1517,930,69,10,199,1,237,71,0.61,0.05,0.01
G32000300029501,32,3,2950,1586,862,235,9,256,15,119,90,0.54,0.15,0.01
G32000300029502,32,3,2950,1498,757,165,3,369,23,133,48,0.51,0.11,0.00
G32000300029503,32,3,2950,1608,821,153,9,428,7,132,58,0.51,0.10,0.01
G32000300029511,32,3,2951,4458,2093,317,22,1570,6,247,203,0.47,0.07,0.00
G32000300029512,32,3,2951,1427,787,126,5,241,6,154,108,0.55,0.09,0.00
G32000300029513,32,3,2951,2411,1537,264,9,329,11,143,118,0.64,0.11,0.00
G32000300029521,32,3,2952,1323,681,89,3,387,6,104,53,0.51,0.07,0.00
G32000300029522,32,3,2952,1217,903,73,4,153,4,45,35,0.74,0.06,0.00
G32000300029531,32,3,2953,818,555,41,4,122,1,62,33,0.68,0.05,0.00
G32000300029532,32,3,2953,998,645,77,11,164,2,73,26,0.65,0.08,0.01
G32000300029533,32,3,2953,967,690,57,9,114,2,63,32,0.71,0.06,0.01
G32000300029534,32,3,2953,1376,810,76,20,274,18,107,71,0.59,0.06,0.01
G32000300029541,32,3,2954,1107,505,131,8,216,5,191,51,0.46,0.12,0.01
G32000300029542,32,3,2954,822,397,39,5,118,7,216,40,0.48,0.05,0.01
G32000300029543,32,3,2954,983,501,87,28,62,4,266,35,0.51,0.09,0.03
G32000300029544,32,3,2954,1338,983,53,5,83,20,167,27,0.73,0.04,0.00
G32000300029561,32,3,2956,1869,931,451,11,202,13,179,82,0.50,0.24,0.01
G32000300029562,32,3,2956,828,575,73,5,87,6,37,45,0.69,0.09,0.01
G32000300029571,32,3,2957,930,842,12,3,47,0,3,23,0.91,0.01,0.00
G32000300029572,32,3,2957,978,888,25,1,42,2,7,13,0.91,0.03,0.00
G32000300029581,32,3,2958,1543,731,176,5,315,29,215,72,0.47,0.11,0.00
G32000300029582,32,3,2958,582,331,90,1,65,3,62,30,0.57,0.15,0.00
G32000300029583,32,3,2958,1082,691,109,7,133,12,78,52,0.64,0.10,0.01
G32000300029584,32,3,2958,1706,806,303,23,223,20,212,119,0.47,0.18,0.01
G32000300029585,32,3,2958,1120,749,66,7,160,20,78,40,0.67,0.06,0.01
G32000300029611,32,3,2961,1082,744,80,7,157,9,43,42,0.69,0.07,0.01
G32000300029612,32,3,2961,931,677,96,7,73,2,31,45,0.73,0.10,0.01
G32000300029621,32,3,2962,2010,1384,258,24,83,21,147,93,0.69,0.13,0.01
G32000300029641,32,3,2964,2895,1186,576,35,409,36,437,216,0.41,0.20,0.01
G32000300029642,32,3,2964,2027,1014,393,14,209,14,325,58,0.50,0.19,0.01
G32000300029651,32,3,2965,1955,1235,38,5,54,5,566,52,0.63,0.02,0.00
G32000300029652,32,3,2965,1359,997,131,15,135,11,44,26,0.73,0.10,0.01
G32000300029661,32,3,2966,2414,940,524,11,224,42,577,96,0.39,0.22,0.00
G32000300029662,32,3,2966,1648,666,423,5,341,8,159,46,0.40,0.26,0.00
G32000300029663,32,3,2966,1246,503,284,2,307,4,98,48,0.40,0.23,0.00
G32000300029671,32,3,2967,789,444,117,4,114,2,60,48,0.56,0.15,0.01
G32000300029672,32,3,2967,1628,820,325,11,214,25,118,115,0.50,0.20,0.01
G32000300029673,32,3,2967,1251,575,305,13,156,7,120,75,0.46,0.24,0.01
G32000300029681,32,3,2968,955,297,94,3,441,5,67,48,0.31,0.10,0.00
G32000300029682,32,3,2968,1344,772,112,4,305,4,91,56,0.57,0.08,0.00
G32000300029691,32,3,2969,777,406,121,2,120,5,90,33,0.52,0.16,0.00
G32000300029692,32,3,2969,560,252,161,2,78,5,31,31,0.45,0.29,0.00
G32000300029701,32,3,2970,867,385,173,7,125,12,122,43,0.44,0.20,0.01
G32000300029702,32,3,2970,1185,542,238,10,201,11,134,49,0.46,0.20,0.01
G32000300029703,32,3,2970,1382,586,281,21,187,8,231,68,0.42,0.20,0.02
G32000300029741,32,3,2974,1596,1010,115,9,199,9,194,60,0.63,0.07,0.01
G32000300029742,32,3,2974,3418,1862,410,24,580,29,317,196,0.54,0.12,0.01
G32000300029751,32,3,2975,3066,1507,304,19,769,29,279,159,0.49,0.10,0.01
G32000300029752,32,3,2975,2050,1019,215,17,475,26,199,99,0.50,0.10,0.01
G32000300029761,32,3,2976,2421,1375,182,16,556,30,148,114,0.57,0.08,0.01
G32000300029762,32,3,2976,1498,751,125,7,464,13,81,57,0.50,0.08,0.00
G32000300029771,32,3,2977,2034,1026,115,10,666,8,86,123,0.50,0.06,0.00
G32000300029772,32,3,2977,1067,599,37,3,357,1,32,38,0.56,0.03,0.00
G32000300029781,32,3,2978,2556,1561,131,10,575,5,131,143,0.61,0.05,0.00
G32000300029791,32,3,2979,2442,1612,167,20,346,38,116,143,0.66,0.07,0.01
G32000300029801,32,3,2980,1267,637,99,3,377,4,76,71,0.50,0.08,0.00
G32000300029802,32,3,2980,2788,1368,299,26,727,17,182,169,0.49,0.11,0.01
G32000300029803,32,3,2980,1606,821,161,2,444,23,76,79,0.51,0.10,0.00
G32000300029811,32,3,2981,1953,935,182,8,541,13,160,114,0.48,0.09,0.00
G32000300029812,32,3,2981,2166,1160,161,17,492,14,211,111,0.54,0.07,0.01
G32000300029821,32,3,2982,2513,1039,262,11,861,34,170,136,0.41,0.10,0.00
G32000300029822,32,3,2982,2584,1109,190,18,932,39,155,141,0.43,0.07,0.01
G32000300029823,32,3,2982,1858,789,234,20,529,17,155,114,0.42,0.13,0.01
G32000300029831,32,3,2983,2096,946,254,7,543,11,194,141,0.45,0.12,0.00
G32000300029841,32,3,2984,3684,1712,307,23,1123,43,221,255,0.46,0.08,0.01
G32000300029851,32,3,2985,4160,2228,439,42,921,37,212,281,0.54,0.11,0.01
G32000300029951,32,3,2995,1135,509,57,9,238,16,258,48,0.45,0.05,0.01
G32000300029952,32,3,2995,1174,394,185,16,119,13,375,72,0.34,0.16,0.01
G32000300029953,32,3,2995,397,240,42,3,60,6,20,26,0.60,0.11,0.01
G32000300029961,32,3,2996,1039,582,64,6,170,9,134,74,0.56,0.06,0.01
G32000300029962,32,3,2996,1560,621,127,17,218,5,472,100,0.40,0.08,0.01
G32000300029963,32,3,2996,954,409,47,4,381,10,80,23,0.43,0.05,0.00
G32000300029964,32,3,2996,1197,564,244,13,105,4,185,82,0.47,0.20,0.01
G32000300030011,32,3,3001,578,433,30,2,39,0,58,16,0.75,0.05,0.00
G32000300030012,32,3,3001,1221,827,115,15,21,10,172,61,0.68,0.09,0.01
G32000300030013,32,3,3001,1114,756,74,7,35,13,169,60,0.68,0.07,0.01
G32000300030014,32,3,3001,785,561,26,3,27,12,126,30,0.71,0.03,0.00
G32000300030031,32,3,3003,1940,1116,261,12,178,23,225,125,0.58,0.13,0.01
G32000300030032,32,3,3003,1783,1097,204,13,83,24,278,84,0.62,0.11,0.01
G32000300030033,32,3,3003,1578,944,204,22,126,25,169,88,0.60,0.13,0.01
G32000300030041,32,3,3004,1368,738,286,2,98,12,115,117,0.54,0.21,0.00
G32000300030042,32,3,3004,759,563,70,4,46,2,44,30,0.74,0.09,0.01
G32000300030051,32,3,3005,1014,782,62,24,22,1,79,44,0.77,0.06,0.02
G32000300030052,32,3,3005,824,601,33,6,35,17,87,45,0.73,0.04,0.01
G32000300030053,32,3,3005,813,587,44,13,31,2,94,42,0.72,0.05,0.02
G32000300030054,32,3,3005,829,594,32,4,35,9,117,38,0.72,0.04,0.00
G32000300030061,32,3,3006,792,580,19,10,28,4,92,59,0.73,0.02,0.01
G32000300030062,32,3,3006,1329,964,62,3,35,9,186,70,0.73,0.05,0.00
G32000300030063,32,3,3006,1276,823,117,8,52,18,202,56,0.64,0.09,0.01
G32000300031021,32,3,3102,1223,685,76,11,37,1,378,35,0.56,0.06,0.01
G32000300031022,32,3,3102,1512,784,97,3,20,8,522,78,0.52,0.06,0.00
G32000300031023,32,3,3102,1111,718,87,10,24,23,211,38,0.65,0.08,0.01
G32000300031024,32,3,3102,1419,834,171,11,47,6,267,83,0.59,0.12,0.01
G32000300031031,32,3,3103,1686,889,208,23,90,7,384,85,0.53,0.12,0.01
G32000300031032,32,3,3103,1939,953,344,6,160,28,348,100,0.49,0.18,0.00
G32000300031041,32,3,3104,2449,1136,362,16,90,20,677,148,0.46,0.15,0.01
G32000300031042,32,3,3104,1809,1033,236,6,158,18,246,112,0.57,0.13,0.00
G32000300032041,32,3,3204,754,674,21,4,23,0,6,26,0.89,0.03,0.01
G32000300032042,32,3,3204,1624,1410,86,3,61,3,30,31,0.87,0.05,0.00
G32000300032043,32,3,3204,828,721,45,5,24,4,7,22,0.87,0.05,0.01
G32000300032044,32,3,3204,1402,1142,90,9,67,11,42,41,0.81,0.06,0.01
G32000300032045,32,3,3204,1215,1011,29,3,25,7,108,32,0.83,0.02,0.00
G32000300032081,32,3,3208,1549,1317,60,4,94,2,29,43,0.85,0.04,0.00
G32000300032082,32,3,3208,1350,1152,45,1,50,4,43,55,0.85,0.03,0.00
G32000300032101,32,3,3210,539,472,8,2,42,1,0,14,0.88,0.01,0.00
G32000300032102,32,3,3210,792,747,17,1,20,0,1,6,0.94,0.02,0.00
G32000300032103,32,3,3210,587,544,20,0,20,0,0,3,0.93,0.03,0.00
G32000300032104,32,3,3210,528,474,18,0,33,0,2,1,0.90,0.03,0.00
G32000300032111,32,3,3211,1741,1605,39,1,71,3,4,18,0.92,0.02,0.00
G32000300032112,32,3,3211,1256,1176,32,5,31,0,3,9,0.94,0.03,0.00
G32000300032131,32,3,3213,896,820,26,0,38,1,0,11,0.92,0.03,0.00
G32000300032132,32,3,3213,1055,976,13,3,53,1,3,6,0.93,0.01,0.00
G32000300032141,32,3,3214,807,746,13,2,36,4,3,3,0.92,0.02,0.00
G32000300032142,32,3,3214,1144,1025,58,1,32,2,20,6,0.90,0.05,0.00
G32000300032151,32,3,3215,698,532,69,1,38,5,30,23,0.76,0.10,0.00
G32000300032152,32,3,3215,1127,783,124,2,111,10,36,61,0.69,0.11,0.00
G32000300032153,32,3,3215,1236,903,119,1,119,2,46,46,0.73,0.10,0.00
G32000300032154,32,3,3215,1152,712,197,8,73,16,87,59,0.62,0.17,0.01
G32000300032181,32,3,3218,1199,934,46,2,102,8,57,50,0.78,0.04,0.00
G32000300032182,32,3,3218,1674,1278,88,4,144,18,61,81,0.76,0.05,0.00
G32000300032183,32,3,3218,923,622,108,6,117,4,20,46,0.67,0.12,0.01
G32000300032184,32,3,3218,1556,1360,27,2,120,9,10,28,0.87,0.02,0.00
G32000300032191,32,3,3219,1930,1553,142,5,126,7,29,68,0.80,0.07,0.00
G32000300032192,32,3,3219,1506,1018,176,8,137,5,66,96,0.68,0.12,0.01
G32000300032193,32,3,3219,1253,918,95,5,133,8,41,53,0.73,0.08,0.00
G32000300032194,32,3,3219,1448,992,104,2,170,2,74,104,0.69,0.07,0.00
G32000300032201,32,3,3220,1031,608,123,12,89,8,127,64,0.59,0.12,0.01
G32000300032202,32,3,3220,1422,941,212,6,94,5,70,94,0.66,0.15,0.00
G32000300032203,32,3,3220,866,567,125,6,37,2,66,63,0.65,0.14,0.01
G32000300032204,32,3,3220,1036,673,170,12,64,1,77,39,0.65,0.16,0.01
G32000300032205,32,3,3220,986,620,129,5,60,5,110,57,0.63,0.13,0.01
G32000300032206,32,3,3220,725,431,129,9,74,3,36,43,0.59,0.18,0.01
G32000300032221,32,3,3222,1220,920,84,7,100,2,32,75,0.75,0.07,0.01
G32000300032222,32,3,3222,1802,1313,129,10,192,13,42,103,0.73,0.07,0.01
G32000300032223,32,3,3222,1600,1170,130,4,173,6,61,56,0.73,0.08,0.00
G32000300032231,32,3,3223,1687,1254,94,5,213,10,31,80,0.74,0.06,0.00
G32000300032232,32,3,3223,1285,1074,34,4,136,1,17,19,0.84,0.03,0.00
G32000300032261,32,3,3226,1088,825,30,0,166,8,13,46,0.76,0.03,0.00
G32000300032262,32,3,3226,1202,997,40,1,133,0,10,21,0.83,0.03,0.00
G32000300032271,32,3,3227,2418,1845,149,12,248,11,54,99,0.76,0.06,0.00
G32000300032272,32,3,3227,1438,1062,93,1,144,5,56,77,0.74,0.06,0.00
G32000300032281,32,3,3228,1718,1212,186,12,140,10,66,92,0.71,0.11,0.01
G32000300032282,32,3,3228,847,509,90,7,126,0,48,67,0.60,0.11,0.01
G32000300032283,32,3,3228,1119,781,122,3,66,2,64,81,0.70,0.11,0.00
G32000300032291,32,3,3229,824,533,119,2,55,8,62,45,0.65,0.14,0.00
G32000300032292,32,3,3229,1246,859,146,5,65,9,74,88,0.69,0.12,0.00
G32000300032301,32,3,3230,2523,1791,270,24,204,10,79,145,0.71,0.11,0.01
G32000300032302,32,3,3230,504,375,32,3,38,1,28,27,0.74,0.06,0.01
G32000300032303,32,3,3230,693,543,47,5,34,5,26,33,0.78,0.07,0.01
G32000300032304,32,3,3230,1017,705,112,3,50,7,86,54,0.69,0.11,0.00
G32000300032305,32,3,3230,1375,879,159,4,169,7,59,98,0.64,0.12,0.00
G32000300032311,32,3,3231,872,619,62,1,87,9,39,55,0.71,0.07,0.00
G32000300032312,32,3,3231,778,543,88,8,34,3,58,44,0.70,0.11,0.01
G32000300032313,32,3,3231,1224,911,64,3,122,3,56,65,0.74,0.05,0.00
G32000300032314,32,3,3231,528,394,31,0,63,0,16,24,0.75,0.06,0.00
G32000300032315,32,3,3231,1054,731,181,7,55,2,32,46,0.69,0.17,0.01
G32000300032321,32,3,3232,1502,1361,32,6,18,2,32,51,0.91,0.02,0.00
G32000300032322,32,3,3232,1800,1442,84,12,116,24,52,70,0.80,0.05,0.01
G32000300032323,32,3,3232,536,503,8,0,9,0,12,4,0.94,0.01,0.00
G32000300032324,32,3,3232,1411,1195,49,20,46,4,55,42,0.85,0.03,0.01
G32000300032331,32,3,3233,1216,772,174,16,106,8,65,75,0.63,0.14,0.01
G32000300032332,32,3,3233,1282,923,97,3,128,9,37,85,0.72,0.08,0.00
G32000300032333,32,3,3233,1150,801,75,7,192,6,27,42,0.70,0.07,0.01
G32000300032341,32,3,3234,1378,826,260,8,76,4,81,123,0.60,0.19,0.01
G32000300032342,32,3,3234,998,643,110,1,123,4,56,61,0.64,0.11,0.00
G32000300032343,32,3,3234,1314,929,163,7,76,7,65,67,0.71,0.12,0.01
G32000300032351,32,3,3235,1534,992,238,8,114,6,86,90,0.65,0.16,0.01
G32000300032352,32,3,3235,867,709,52,12,45,3,22,24,0.82,0.06,0.01
G32000300032361,32,3,3236,1037,927,34,2,27,2,15,30,0.89,0.03,0.00
G32000300032362,32,3,3236,1135,896,105,4,41,2,38,49,0.79,0.09,0.00
G32000300032371,32,3,3237,3669,2650,326,31,300,37,117,208,0.72,0.09,0.01
G32000300032381,32,3,3238,2883,2080,274,13,187,8,111,210,0.72,0.10,0.00
G32000300032382,32,3,3238,1221,751,194,5,94,11,57,109,0.62,0.16,0.00
G32000300032383,32,3,3238,1202,848,113,16,90,10,64,61,0.71,0.09,0.01
G32000300032391,32,3,3239,1025,732,121,9,36,14,42,71,0.71,0.12,0.01
G32000300032392,32,3,3239,1768,1401,66,18,162,4,37,80,0.79,0.04,0.01
G32000300032393,32,3,3239,497,361,47,1,36,1,30,21,0.73,0.09,0.00
G32000300032401,32,3,3240,735,642,37,2,28,0,7,19,0.87,0.05,0.00
G32000300032402,32,3,3240,1497,1114,125,7,111,8,27,105,0.74,0.08,0.00
G32000300032403,32,3,3240,1380,996,139,9,89,3,59,85,0.72,0.10,0.01
G32000300032411,32,3,3241,1519,1080,181,5,112,7,48,86,0.71,0.12,0.00
G32000300032412,32,3,3241,1031,739,138,8,53,20,41,32,0.72,0.13,0.01
G32000300032413,32,3,3241,1178,902,100,4,63,11,55,43,0.77,0.08,0.00
G32000300032421,32,3,3242,805,665,26,7,47,6,25,29,0.83,0.03,0.01
G32000300032422,32,3,3242,987,870,57,1,20,0,19,20,0.88,0.06,0.00
G32000300032431,32,3,3243,1756,1182,208,7,197,6,74,82,0.67,0.12,0.00
G32000300032432,32,3,3243,1866,1276,220,8,189,32,72,69,0.68,0.12,0.00
G32000300032433,32,3,3243,1394,905,181,4,178,7,34,85,0.65,0.13,0.00
G32000300032441,32,3,3244,2053,1573,171,15,98,23,107,66,0.77,0.08,0.01
G32000300032442,32,3,3244,1681,1259,177,12,72,14,78,69,0.75,0.11,0.01
G32000300032451,32,3,3245,1101,791,79,8,62,27,78,56,0.72,0.07,0.01
G32000300032452,32,3,3245,1826,1256,180,19,183,22,71,95,0.69,0.10,0.01
G32000300032453,32,3,3245,2232,1594,202,3,214,12,80,127,0.71,0.09,0.00
G32000300032461,32,3,3246,1176,833,150,4,55,14,46,74,0.71,0.13,0.00
G32000300032462,32,3,3246,1308,957,97,16,118,6,58,56,0.73,0.07,0.01
G32000300032463,32,3,3246,1398,1009,136,5,110,13,49,76,0.72,0.10,0.00
G32000300032471,32,3,3247,972,709,87,5,68,10,57,36,0.73,0.09,0.01
G32000300032472,32,3,3247,1054,862,73,2,64,6,13,34,0.82,0.07,0.00
G32000300032473,32,3,3247,1602,1151,169,18,108,9,71,76,0.72,0.11,0.01
G32000300032481,32,3,3248,754,549,60,4,47,0,30,64,0.73,0.08,0.01
G32000300032482,32,3,3248,938,474,215,8,47,7,106,81,0.51,0.23,0.01
G32000300032483,32,3,3248,1210,1021,58,6,81,2,11,31,0.84,0.05,0.00
G32000300032491,32,3,3249,1707,1309,56,7,183,13,35,104,0.77,0.03,0.00
G32000300032492,32,3,3249,1699,1323,48,2,160,11,63,92,0.78,0.03,0.00
G32000300032501,32,3,3250,1419,1031,88,6,174,10,30,80,0.73,0.06,0.00
G32000300032502,32,3,3250,3575,2678,150,7,469,48,65,158,0.75,0.04,0.00
G32000300032511,32,3,3251,976,825,33,2,78,2,16,20,0.85,0.03,0.00
G32000300032512,32,3,3251,1324,1017,75,15,93,10,46,68,0.77,0.06,0.01
G32000300032521,32,3,3252,1461,1141,90,7,106,5,43,69,0.78,0.06,0.00
G32000300032522,32,3,3252,1204,955,45,5,120,8,38,33,0.79,0.04,0.00
G32000300032523,32,3,3252,1581,1238,126,2,100,10,42,63,0.78,0.08,0.00
G32000300032531,32,3,3253,1139,818,74,5,118,8,57,59,0.72,0.06,0.00
G32000300032532,32,3,3253,1668,998,171,11,134,12,228,114,0.60,0.10,0.01
G32000300032533,32,3,3253,735,453,62,3,62,10,114,31,0.62,0.08,0.00
G32000300032541,32,3,3254,1862,1287,249,15,87,18,112,94,0.69,0.13,0.01
G32000300032542,32,3,3254,1509,1153,36,14,60,21,165,60,0.76,0.02,0.01
G32000300032601,32,3,3260,1826,1118,208,11,194,7,164,124,0.61,0.11,0.01
G32000300032602,32,3,3260,780,588,56,23,28,9,54,22,0.75,0.07,0.03
G32000300032603,32,3,3260,848,650,110,4,43,5,9,27,0.77,0.13,0.00
G32000300032611,32,3,3261,1267,788,116,26,111,0,125,101,0.62,0.09,0.02
G32000300032612,32,3,3261,1222,872,104,10,91,14,69,62,0.71,0.09,0.01
G32000300032621,32,3,3262,1646,1499,29,5,93,1,2,17,0.91,0.02,0.00
G32000300032622,32,3,3262,1151,1052,37,0,51,1,3,7,0.91,0.03,0.00
G32000300033031,32,3,3303,2402,1530,388,18,101,5,217,143,0.64,0.16,0.01
G32000300033032,32,3,3303,1364,885,165,15,82,2,129,86,0.65,0.12,0.01
G32000300033033,32,3,3303,1003,768,80,7,60,2,42,44,0.77,0.08,0.01
G32000300033051,32,3,3305,723,555,81,1,24,3,19,40,0.77,0.11,0.00
G32000300033052,32,3,3305,1395,999,158,9,61,8,90,70,0.72,0.11,0.01
G32000300033053,32,3,3305,1194,914,118,4,45,3,63,47,0.77,0.10,0.00
G32000300033054,32,3,3305,1091,864,64,14,62,1,46,40,0.79,0.06,0.01
G32000300033055,32,3,3305,974,703,70,4,78,4,49,66,0.72,0.07,0.00
G32000300033061,32,3,3306,678,533,41,6,20,4,44,30,0.79,0.06,0.01
G32000300033062,32,3,3306,1056,916,52,12,42,3,11,20,0.87,0.05,0.01
G32000300033063,32,3,3306,952,840,50,2,29,0,14,17,0.88,0.05,0.00
G32000300033064,32,3,3306,1332,1094,110,3,36,3,43,43,0.82,0.08,0.00
G32000300033071,32,3,3307,3613,2450,460,19,243,40,204,197,0.68,0.13,0.01
G32000300033072,32,3,3307,2629,2065,190,9,118,15,91,141,0.79,0.07,0.00
G32000300033081,32,3,3308,2911,2104,287,15,198,9,147,151,0.72,0.10,0.01
